county,Hazard,totalSubapplicationAmount,Hazard_color
31185,Severe storm,4556225.0,FFFF00
31185,Winter storm,2500350.0,A0E6FF
32003,Flooding,208885.94,00AAFF
32003,Infrastructure failure,912492.8,884DFF
32005,Dam/Levee break,29002158.0,00AAFF
32005,Earthquake,14573681.24,FFFFFF
32005,Fire,124601.12,FF1919
32005,Flooding,2384336.94,00AAFF
32011,Drought,166000.0,CC5500
32017,Drought,39159.97,CC5500
32021,Flooding,157500.0,00AAFF
32029,Flooding,3588000.0,00AAFF
32031,Earthquake,490000.0,FFFFFF
32031,Flooding,3588000.0,00AAFF
32031,Infrastructure failure,1379517.8599999999,884DFF
32510,Dam/Levee break,29002158.0,00AAFF
32510,Earthquake,14573681.24,FFFFFF
32510,Fire,124601.12,FF1919
32510,Flooding,2384336.94,00AAFF
33003,Flooding,172000.0,00AAFF
33005,Flooding,102320.88,00AAFF
33007,Severe storm,165000.0,FFFF00
33009,Flooding,849618.0,00AAFF
33009,Severe storm,165000.0,FFFF00
33013,Fire,246310.56,FF1919
33013,Infrastructure failure,1286435.12,884DFF
33013,Severe storm,13878.0,FFFF00
33015,Flooding,336389.75,00AAFF
33015,Infrastructure failure,129730.25,884DFF
33017,Flooding,262389.75,00AAFF
33017,Infrastructure failure,52925.25,884DFF
33019,Flooding,1099618.0,00AAFF
33019,Infrastructure failure,200000.0,884DFF
34001,Flooding,103745637.09,00AAFF
34001,Infrastructure failure,150000.0,884DFF
34001,Severe storm,2047188.5,FFFF00
34003,Flooding,24475505.73,00AAFF
34003,Uncategorized,101742.0,FFFFFF
34005,Flooding,1677535.0,00AAFF
34007,Flooding,215000.0,00AAFF
34009,Flooding,226266050.96,00AAFF
34011,Flooding,114952.71,00AAFF
34011,Severe storm,200000.0,FFFF00
34013,Flooding,2263159.04,00AAFF
34013,Severe storm,200001.57,FFFF00
34015,Flooding,200000.0,00AAFF
34017,Flooding,189204402.44,00AAFF
34017,Infrastructure failure,18652800.3,884DFF
34019,Flooding,12400146.03,00AAFF
